2022-08-23 17:03:15.837 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.entity.EncryptTest], using SpringBootContextLoader
2022-08-23 17:03:15.843 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weiho.scaffold.system.entity.EncryptTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-08-23 17:03:15.844 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.weiho.scaffold.system.entity.EncryptTest]: AvatarTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-08-23 17:03:16.102 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.weiho.scaffold.system.AppRun for test class com.weiho.scaffold.system.entity.EncryptTest
2022-08-23 17:03:16.241 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-08-23 17:03:16.284 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@59e505b2, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3af0a9da, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@43b9fd5, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@79dc5318, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@8e50104, org.springframework.test.context.support.DirtiesContextTestExecutionListener@37e4d7bb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@6f7923a5, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@74a6f9c1, org.springframework.test.context.event.EventPublishingTestExecutionListener@54eb2b70, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@45a37759, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@63611043, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@20ca951f, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2d778add, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@73302995, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1838ccb8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6c2ed0cd, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7d9e8ef7]
2022-08-23 17:03:16.812 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-08-23 17:03:16.826 [main] INFO  com.weiho.scaffold.system.entity.EncryptTest - Starting AvatarTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 18344 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-08-23 17:03:16.826 [main] DEBUG com.weiho.scaffold.system.entity.EncryptTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-08-23 17:03:16.827 [main] INFO  com.weiho.scaffold.system.entity.EncryptTest - No active profile set, falling back to 1 default profile: "default"
2022-08-23 17:03:18.325 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
