2022-09-07 14:55:00.181 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.service.UserServiceTest], using SpringBootContextLoader
2022-09-07 14:55:00.189 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weiho.scaffold.system.service.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-09-07 14:55:00.191 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.weiho.scaffold.system.service.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-09-07 14:55:00.412 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.weiho.scaffold.system.AppRun for test class com.weiho.scaffold.system.service.UserServiceTest
2022-09-07 14:55:00.519 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-09-07 14:55:00.541 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@42039326, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@33308786, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4f9a2c08, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@a87f8ec, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5443d039, org.springframework.test.context.support.DirtiesContextTestExecutionListener@63787180, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7d1cfb8b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@48e92c5c, org.springframework.test.context.event.EventPublishingTestExecutionListener@2e1ef60, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@22356acd, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@386f0da3, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@39655d3e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@34f22f9d, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3d1848cc, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7dda48d9, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6e4566f1, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4b6e2263]
2022-09-07 14:55:00.957 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-09-07 14:55:00.969 [main] INFO  com.weiho.scaffold.system.service.UserServiceTest - Starting UserServiceTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 21284 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-09-07 14:55:00.969 [main] DEBUG com.weiho.scaffold.system.service.UserServiceTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-09-07 14:55:00.970 [main] INFO  com.weiho.scaffold.system.service.UserServiceTest - No active profile set, falling back to 1 default profile: "default"
2022-09-07 14:55:02.373 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
