2022-09-09 14:45:03.951 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.mapper.AvatarMapperTest], using SpringBootContextLoader
2022-09-09 14:45:03.960 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.weiho.scaffold.system.mapper.AvatarMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-09-09 14:45:03.961 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.weiho.scaffold.system.mapper.AvatarMapperTest]: AvatarMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-09-09 14:45:04.126 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.weiho.scaffold.system.AppRun for test class com.weiho.scaffold.system.mapper.AvatarMapperTest
2022-09-09 14:45:04.249 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener, org.springframework.security.test.context.support.ReactorContextTestExecutionListener]
2022-09-09 14:45:04.277 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@53fd0d10, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6c0d9d86, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4ce1d6d0, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@24111ef1, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1f3f02ee, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1fde5d22, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5dcb4f5f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71812481, org.springframework.test.context.event.EventPublishingTestExecutionListener@16ce702d, org.springframework.security.test.context.support.WithSecurityContextTestExecutionListener@7b94089b, org.springframework.security.test.context.support.ReactorContextTestExecutionListener@7ca20101, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@47f9738, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6155d082, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@3a5ecce3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@561868a0, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2ea6e30c, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@6138e79a]
2022-09-09 14:45:04.689 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-09-09 14:45:04.699 [main] INFO  com.weiho.scaffold.system.mapper.AvatarMapperTest - Starting AvatarMapperTest using Java 1.8.0_144 on LAPTOP-SR0899OB with PID 21260 (started by Weiho in E:\Graduation_ChouChou\Scaffold-Weiho\Scaffold\scaffold-system)
2022-09-09 14:45:04.700 [main] DEBUG com.weiho.scaffold.system.mapper.AvatarMapperTest - Running with Spring Boot v2.7.0, Spring v5.3.20
2022-09-09 14:45:04.702 [main] INFO  com.weiho.scaffold.system.mapper.AvatarMapperTest - No active profile set, falling back to 1 default profile: "default"
2022-09-09 14:45:06.091 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-09-09 14:45:06.094 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-09-09 14:45:06.122 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
2022-09-09 14:45:07.895 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 0 (http)
2022-09-09 14:45:07.908 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2022-09-09 14:45:07.908 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-09-09 14:45:07.908 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-09-09 14:45:08.058 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-09-09 14:45:08.058 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3303 ms
2022-09-09 14:45:08.475 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2022-09-09 14:45:09.105 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2022-09-09 14:45:12.353 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '需要token验证' 初始化]
2022-09-09 14:45:12.386 [main] INFO  c.w.scaffold.common.config.swagger.SwaggerConfig - Swagger -> [Swagger接口文档分组 '不需要token验证' 初始化]
